Product_name,Price,Rating,Seller_name
"INGCO 20V Fast Intelligent Charger, Serving Only INGCO Series 2.0Ah and 4.0Ah Batteries, Charges 20V 2.0Ah Battery in 0.5Hr, Charges 20V 4.0Ah Battery in 1Hr, Compatible with All INGCO 20V Power Tools","1,599",4.1 out of 5 stars,INGCO
"Callmate 20000mAh Power Bank, 23W Fast Charging with Type C PD (Input & Output)| Metal Body, 4 Output Ports and 2 Input | Digital Display (23 W, Quick Charger, Power Delivery) (Blue)","1,399",2.5 out of 5 stars,Callmate
"Promate PowerMag-Trio 10000mAh Power Bank, Compact Wireless Supercharge™ Battery Pack with 15W MagSafe Charger, 2.5W Apple Watch Charging Pad and 20W USB-C™, Black","2,999",3.5 out of 5 stars,Promate
OBOE Silicone Soft Cover Case for Mi Power Bank 3i 10000 mAh/Mi Wireless Power Bank 10000 mAh Battery (Pink) [Power Bank NOT Included],349,4.0 out of 5 stars,OBOE
MCDODO MC-3951 Mini Magnetic 15W Wireless Fast Charging Power Bank 5000mAh Black,"1,999",3.7 out of 5 stars,MCDODO
"Zaoma Flap Case Cover Pouch Compatible for MI 10000mAh Lithium Ion, Lithium Polymer Power Bank Pocket Pro Case (MIPOCK_MKDES)",399,3.2 out of 5 stars,Zaoma
,,,
"iGear Max 10 Plus: 10000mAh Magsafe Power Bank, 15W Wireless/22.5W Wired Charging, Digital Display, Type-C Input & Output, Phone Stand, Support iPhone 12 & Above","1,673.",3.8 out of 5 stars,iGear
"URBN 10000mAh Lithium Polymer Power Bank Ultra Compact with 12 Watt Fast Charging, (Black)",768,3.7 out of 5 stars,URBN
Trendy Retail® Two-Way Battery Charging Hub for DJI Mavic Mini/Mini 2 Charge 2 Batteries,,,Trendy
"Portronics Lithium Polymer Power M 20K 20000 mAh Metal Housing Power Bank with Dual Input (Type C + Micro USB) & Triple Output Fast Charging, 18 W with QC 3.0 & Type-C PD Type-C Cable Included -Black","1,999",3.9 out of 5 stars,Portronics
swabs® 1500mAh Large Capacity Battery Small Solar Charger Solar Power Bank Keychain Charger for Mobile Phones with Carabiner Emergency Power Supply - iOS pin,749,2.6 out of 5 stars,swabs®
JB ENTERPRISE Super Fast Charging 10000 mah Portable Charger Power Bank with cab,"1,498",2.8 out of 5 stars,JB
swabs® Solar Keychain Flashlight Solar Charger Mobile Power Supply Energy Saving Charger/Battery Power Bank for Cellphone,789,1.6 out of 5 stars,swabs®
OBOE Silicon Soft Cover Case for Mi Power Bank 3i 10000 mAh/Mi Wireless Power Bank 10000 mAh Battery (White)[Power Bank NOT Included],349,4.0 out of 5 stars,OBOE
"GearZTouch Volt Wireless Ultra Power Bank 10000mAH, Fast Charging 22.5W, Triple Output (1 USB, 1Lighteening&1 Type-C Port) Compatible with iPhone, iWatch & AirPods & All Android Devices (White)","1,947",5.0 out of 5 stars,GearZTouch
"Brain Freezer Silicone Soft Cover Case Compatible with Mi Boost Pro Power Bank (Black, 30000 mAh) (Device Not Included)",265,4.5 out of 5 stars,Brain
"Neopack MagSafe Power Bank 10000 mAH Portable Charger Support Wireless Charging @ 15W & Type-C PD @ 20W Compatible with iPhone 12/13/14/15/16 Series, Android Phones & USB-C Enabled Devices (Grey)","2,999",,Neopack
"AMYTEL 20000mAh Power Bank, 18W Fast Charging| Buit-in 4-in-1 Cables | 4 Output Ports and 3 Input | Digital Display |LED Torch|for iPhone, Smartphones (18 W, Fast Charging) (Black, Lithium Polymer)","1,299",,AMYTEL
"ZAOMA Shock Proof Pouch Case Wallet Cover Protector Compatible for Ambrane 20000mAh Power Bank, Stylo 20k 20W Fast Charging with Loop (PBPLOOP_DBRW004)",499,4.6 out of 5 stars,ZAOMA
"ICSTORE DIY 10000mAh Power Bank Circuit Board Assembly Module Kit, 5V Micro USB Input for Charging 3.7V Lithium-ion Rechargeable 1A Mobile Phone Charger/Adapter, LED Indicator (Red) - Pack of 4",234,3.4 out of 5 stars,ICSTORE
"ERH India 18650 Charger Board Lithium Battery Charging Module Dual USB 5V 2.4A Mini Type-C Module with Type-C Cable for Multiple Applications, Automotive Systems, Power Tools etc.",489,3.0 out of 5 stars,ERH
,,,
,,,
,,,
Pinaaki Enterprises Mi A1 Case | Premium Leather Finish | with Card Pockets | Wallet Stand |Complete Protection Cover for Mi A1 - Camel and Black,168,3.6 out of 5 stars,Pinaaki
Pinaaki Enterprises Infinix Hot 10 Play Case | Premium Leather Finish | with Card Pockets | Wallet Stand |Complete Protection Cover for Infinix Hot 10 Play - Camel and Black,219,3.6 out of 5 stars,Pinaaki
Pinaaki Enterprises LG W31 Case | Premium Leather Finish | with Card Pockets | Wallet Stand |Complete Protection Cover for LG W31 - Camel and Black,169,3.6 out of 5 stars,Pinaaki
,,,
ERH India (Pack of 2) 5v Step-Up Power Module Lithium Battery Charging Board Boost Converter Power Bank Module Circuit Board,274,3.6 out of 5 stars,ERH
